date,Bx,By,Bz,Mx,My,Mz,dst
19971001 21:30,-65.57,-3.82,23.65,-57.66,-1.37,14.15,-58.50
19971001 22:30,-63.97,-5.11,23.09,-57.67,-3.62,13.50,-54.50
19971010 05:30,-55.55,-1.76,16.37,-47.82,4.97,12.40,-52.00
19971010 06:30,-76.49,3.29,19.91,-68.08,7.96,13.17,-55.00
19971010 07:30,-86.00,9.67,21.74,-80.28,12.62,13.96,-54.00
19971010 08:30,-76.98,9.26,23.79,-66.67,7.87,13.46,-52.00
19971010 09:30,-83.91,1.01,16.82,-71.27,2.66,12.75,-50.50
19971010 18:30,-46.10,-6.82,18.01,-24.82,-18.41,10.58,-51.50
19971010 19:30,-75.72,-11.29,14.51,-53.22,-15.64,9.75,-62.00
19971010 20:30,-65.41,-5.61,20.27,-41.49,-12.69,10.48,-61.50
19971010 21:30,-64.20,-14.82,18.21,-38.71,-21.01,8.37,-69.00
19971010 22:30,-63.79,-28.10,14.86,-32.16,-25.58,6.02,-83.00
19971010 23:30,-66.00,-26.88,17.39,-39.44,-28.47,5.17,-99.50
19971011 06:30,-114.60,-12.63,23.87,-99.05,-6.73,11.12,-95.50
19971011 07:30,-108.13,-11.23,26.64,-99.20,-9.60,11.14,-86.00
19971011 08:30,-102.94,-9.65,28.68,-97.24,-11.32,10.76,-76.00
19971011 09:30,-83.94,-4.91,29.75,-72.57,-7.20,11.72,-71.00
19971011 10:30,-78.60,-6.45,27.25,-64.45,-4.48,12.19,-68.00
19971011 11:30,-74.86,-9.94,26.34,-63.41,-7.45,12.24,-65.00
19971011 12:30,-70.60,-6.70,26.16,-60.54,-5.56,12.68,-61.50
19971011 13:30,-68.49,-5.38,25.39,-57.70,-3.98,12.99,-59.50
19971011 14:30,-67.68,-5.91,24.21,-55.86,-3.46,13.17,-57.00
19971011 15:30,-64.12,-4.32,24.07,-52.69,-2.10,13.16,-55.00
19971011 16:30,-63.31,-4.09,23.41,-51.91,-1.10,13.24,-55.00
19971011 17:30,-61.85,-3.72,22.41,-50.70,-0.08,13.17,-53.50
19971024 12:30,-128.19,-25.71,4.63,-122.72,-7.70,15.38,-52.50
19971025 01:30,-48.09,-32.71,17.00,-32.17,-25.24,10.51,-59.00
19971025 02:30,-51.97,-32.49,20.65,-26.39,-15.50,9.23,-63.50
19971025 03:30,-62.55,-30.23,26.54,-38.67,-15.95,9.56,-58.00
19971025 04:30,-61.49,-20.47,34.10,-44.06,-11.96,9.65,-52.50
19971025 05:30,-61.36,-5.98,34.84,-50.30,-2.73,10.15,-51.00
19971026 00:30,-50.05,-29.86,20.27,-28.33,-20.68,9.85,-51.00
19971027 20:30,-47.38,-3.08,19.17,-29.42,-4.25,10.41,-52.50
19971027 21:30,-52.26,-2.74,18.36,-31.55,-4.78,10.54,-58.50
19971027 22:30,-53.63,-7.57,16.33,-31.33,-10.60,9.93,-58.50
19971027 23:30,-58.73,-11.54,15.85,-35.53,-9.15,10.18,-55.00
19971028 00:30,-64.22,-14.58,16.91,-44.01,-5.99,11.05,-52.00
19971107 01:30,-50.48,-18.94,10.84,-46.14,-17.90,13.47,-77.50
19971107 02:30,-83.65,-22.26,11.05,-75.52,-10.68,17.59,-99.00
19971107 05:30,-110.62,1.78,20.68,-115.92,10.58,20.12,-96.00
19971107 06:30,-121.61,-8.83,17.95,-113.15,-1.30,18.22,-95.50
19971107 07:30,-112.70,-9.25,17.74,-104.79,-3.14,17.37,-92.00
19971107 08:30,-105.55,-12.46,21.00,-97.38,-2.53,15.49,-83.00
19971107 09:30,-89.55,-9.12,27.67,-81.64,-5.82,15.42,-78.00
19971107 10:30,-91.07,-8.94,26.78,-80.46,-5.01,14.98,-75.50
19971107 11:30,-92.84,-7.49,25.63,-78.17,-2.91,14.89,-71.00
19971107 12:30,-98.69,-9.72,25.44,-82.43,-3.75,15.22,-65.00
19971107 13:30,-96.34,2.08,27.67,-84.48,6.08,16.63,-58.50
19971107 14:30,-91.19,-0.82,26.44,-79.44,5.01,17.37,-53.00
19971107 15:30,-90.47,-0.40,26.31,-80.89,6.26,17.72,-51.50
19971107 16:30,-74.85,3.75,28.85,-62.96,3.54,17.19,-52.00
19971110 01:30,-42.05,-23.84,23.00,-22.38,-15.54,10.69,-53.50
19971110 02:30,-42.86,-26.37,24.70,-24.76,-15.64,11.70,-52.50
19971110 03:30,-46.66,-22.37,26.39,-30.86,-9.38,12.73,-51.00
19971110 04:30,-51.03,-10.26,29.50,-36.22,-1.87,13.18,-51.50
19971110 05:30,-56.25,2.82,28.31,-48.69,4.50,13.26,-52.50
19971110 06:30,-62.26,6.16,22.82,-57.08,7.18,12.51,-50.50
19971122 12:30,-169.97,12.29,0.79,-159.60,19.89,11.62,-60.50
19971122 13:30,-120.65,-1.16,15.04,-111.49,2.07,14.01,-55.00
19971122 14:30,-130.34,0.81,15.72,-122.83,4.05,14.55,-65.00
19971122 15:30,-121.49,-4.84,18.67,-109.54,-1.11,14.60,-70.50
19971122 16:30,-87.92,-2.72,24.16,-75.06,-2.20,14.15,-60.00
19971122 17:30,-75.07,-9.51,23.49,-63.80,-7.69,14.22,-54.00
19971122 22:30,-63.98,-35.92,14.18,-50.56,-36.28,11.63,-58.00
19971122 23:30,-82.41,-45.98,11.76,-54.36,-40.97,9.96,-80.50
19971123 00:30,-90.06,-41.60,20.98,-68.40,-37.06,9.55,-86.00
19971123 01:30,-110.59,-29.87,21.92,-98.66,-30.23,10.82,-89.00
19971123 02:30,-121.43,-29.58,27.98,-80.76,-17.41,9.79,-99.00
19971123 07:30,-127.84,-0.82,31.60,-118.35,3.96,16.58,-99.50
19971123 08:30,-113.52,-1.39,31.82,-108.13,6.29,16.83,-92.00
19971123 09:30,-118.14,-1.93,26.18,-109.85,9.62,16.48,-91.50
19971123 10:30,-140.01,-3.38,22.92,-131.17,8.22,16.98,-99.00
19971123 13:30,-132.59,-5.11,25.78,-121.19,-2.80,17.01,-94.00
19971123 14:30,-116.26,1.84,30.60,-103.38,4.14,17.35,-88.50
19971123 15:30,-98.40,1.19,30.42,-87.66,3.74,16.74,-84.00
19971123 16:30,-94.86,1.31,26.98,-84.35,4.27,15.64,-81.50
19971123 17:30,-93.02,0.52,25.26,-83.49,3.09,15.52,-78.50
19971123 18:30,-93.52,-1.05,23.73,-83.86,2.19,15.41,-74.00
19971123 19:30,-83.72,-0.32,25.81,-75.47,2.73,15.77,-70.00
19971123 20:30,-75.47,0.89,25.46,-63.52,4.50,15.11,-68.50
19971123 21:30,-76.30,-0.40,23.74,-64.07,-1.61,13.77,-65.00
19971123 22:30,-80.93,-2.88,22.04,-66.36,-4.63,12.76,-59.50
19971123 23:30,-78.46,-11.88,16.59,-60.78,-11.18,11.40,-56.50
19971124 00:30,-74.29,-20.53,17.84,-61.91,-15.41,10.82,-55.00
19971124 01:30,-74.85,-27.90,24.71,-66.55,-17.56,11.06,-52.50
19971124 02:30,-70.66,-31.75,29.78,-62.35,-21.09,11.22,-51.50
19971210 19:30,-68.20,-9.60,18.81,-56.41,-9.60,11.95,-53.00
19971210 20:30,-72.65,-10.53,18.22,-60.20,-10.55,11.81,-55.00
19971210 21:30,-68.27,-9.99,19.43,-53.71,-9.09,10.80,-50.50
19971211 01:30,-58.10,-15.89,16.69,-37.44,-11.08,8.32,-50.50
19971211 02:30,-60.84,-24.26,19.65,-37.29,-14.99,8.08,-53.00
19971211 03:30,-66.02,-23.87,25.40,-39.84,-14.37,8.11,-52.00
19971211 04:30,-65.79,-20.41,32.27,-39.36,-13.92,8.51,-51.00
19971211 08:30,-73.69,-6.71,28.73,-57.63,-0.70,12.17,-52.00
19971211 09:30,-76.89,-5.09,25.78,-70.15,-0.63,13.16,-57.50
19971211 10:30,-84.94,-7.10,21.28,-79.59,-1.46,13.86,-59.50
19971211 11:30,-93.03,-5.91,21.07,-86.68,-1.70,14.08,-56.00
19971230 15:30,-116.33,5.01,17.39,-107.90,3.27,15.82,-63.00
19971230 16:30,-130.74,7.23,16.01,-126.15,10.04,18.10,-73.00
19971230 17:30,-96.28,1.72,23.52,-82.99,-3.54,17.12,-75.50
19971230 18:30,-108.30,4.42,19.11,-91.15,0.57,15.59,-76.00
19971230 19:30,-99.58,-4.81,20.06,-83.84,-2.61,15.88,-74.50
19971230 20:30,-90.85,-7.84,21.38,-79.02,-8.12,14.90,-69.00
19971230 21:30,-81.32,-8.40,22.54,-73.09,-13.00,14.39,-62.50
19971230 22:30,-75.77,-8.71,22.04,-64.97,-19.23,13.83,-55.50
19971230 23:30,-67.78,-14.85,18.67,-57.27,-23.51,13.98,-50.50
19980107 01:30,-52.73,-17.19,18.06,-28.49,-20.08,6.26,-50.50
19980107 02:30,-72.40,-15.40,12.69,-47.63,-17.22,5.61,-63.00
19980107 03:30,-86.91,-14.62,6.21,-54.05,-11.34,5.76,-74.00
19980107 04:30,-94.50,-14.37,10.07,-67.22,-8.66,6.10,-72.50
19980107 05:30,-93.15,-4.33,14.15,-79.82,-4.61,8.42,-68.00
19980107 06:30,-95.97,0.15,16.02,-94.70,1.25,10.75,-68.00
19980107 07:30,-89.22,0.77,18.14,-90.81,3.60,12.18,-65.50
19980107 08:30,-81.80,9.53,22.38,-82.34,8.58,12.87,-59.50
19980107 09:30,-79.11,19.87,22.34,-77.12,15.71,13.89,-54.50
19980107 10:30,-87.90,27.35,20.86,-81.87,26.64,15.08,-52.00
19980130 10:30,-80.42,3.65,20.93,-73.44,0.87,13.57,-52.00
19980130 11:30,-93.02,-7.49,16.85,-86.43,-6.28,13.86,-55.00
19980130 12:30,-101.16,-11.06,15.77,-97.13,-8.95,14.21,-52.00
19980217 18:30,-86.86,-10.46,13.95,-73.82,-12.03,12.62,-50.50
19980217 19:30,-77.75,-10.37,18.21,-64.21,-20.35,11.31,-60.00
19980217 20:30,-76.57,-13.06,18.86,-57.58,-27.33,10.17,-71.50
19980217 21:30,-69.93,-19.46,18.95,-47.70,-33.52,9.03,-84.50
19980217 22:30,-82.34,-30.46,12.66,-53.64,-39.20,8.59,-93.50
19980217 23:30,-63.86,-45.57,16.72,-16.41,-43.96,6.06,-97.50
19980218 00:30,-59.24,-46.47,24.01,-16.74,-33.39,5.39,-99.00
19980218 01:30,-71.34,-39.59,27.78,-39.73,-29.56,5.78,-93.50
19980218 02:30,-74.89,-25.10,34.39,-42.64,-17.15,5.40,-89.50
19980218 03:30,-86.39,-13.63,39.48,-57.21,-12.12,7.20,-84.50
19980218 04:30,-86.63,-2.54,40.10,-80.79,-7.79,9.08,-76.00
19980218 05:30,-85.07,6.71,36.75,-78.79,-5.32,9.46,-71.00
19980218 06:30,-76.87,8.05,29.15,-71.06,-2.56,10.11,-68.50
19980218 07:30,-78.85,-0.31,20.29,-70.17,-5.34,10.48,-65.50
19980218 08:30,-86.17,-12.21,17.68,-77.58,-12.84,10.30,-61.00
19980218 09:30,-83.99,-16.12,20.74,-80.93,-13.23,10.50,-56.00
19980310 16:30,-93.13,-12.22,16.18,-81.65,-11.76,16.77,-72.50
19980310 17:30,-133.24,3.23,14.24,-121.95,-8.13,17.30,-99.00
19980311 01:30,-101.66,-25.97,10.79,-95.13,-18.99,12.56,-94.00
19980311 02:30,-92.75,-25.02,14.66,-89.36,-13.65,13.66,-87.50
19980311 03:30,-82.02,-15.78,19.08,-80.49,-8.70,14.26,-85.50
19980311 04:30,-82.47,-4.92,23.05,-79.09,-5.48,14.72,-85.00
19980311 05:30,-105.16,-4.17,19.51,-108.86,-7.48,14.30,-80.50
19980311 06:30,-98.04,-4.17,26.71,-94.33,-2.94,15.21,-71.00
19980311 07:30,-82.93,-2.39,30.09,-77.58,-0.77,15.15,-66.50
19980311 08:30,-104.16,2.24,25.27,-100.29,5.60,15.37,-63.50
19980311 09:30,-99.56,5.35,26.73,-94.25,1.66,15.68,-60.50
19980311 10:30,-101.18,-10.20,19.23,-95.23,-6.97,15.68,-60.50
19980311 11:30,-92.24,-12.63,21.52,-83.44,-7.49,15.14,-59.00
19980311 12:30,-91.36,-11.02,22.43,-83.23,-7.22,15.74,-57.00
19980311 13:30,-74.47,-5.26,27.53,-67.03,-5.36,15.99,-58.00
19980311 14:30,-77.32,-8.63,22.04,-69.05,-3.04,15.79,-60.50
19980311 15:30,-78.11,-6.21,24.73,-71.68,-0.80,16.34,-60.50
19980311 16:30,-61.07,-5.23,26.04,-46.05,-0.80,14.95,-58.00
19980311 17:30,-66.17,-1.76,22.09,-57.91,0.90,14.39,-55.00
19980311 18:30,-74.29,-5.24,19.57,-66.12,-0.59,14.87,-51.50
19980311 21:30,-66.81,-6.26,21.47,-57.72,-3.40,14.97,-54.00
19980311 22:30,-72.12,-8.14,17.80,-58.81,-3.58,14.52,-57.50
19980311 23:30,-65.86,-20.99,14.69,-49.90,-7.11,13.29,-56.00
19980312 00:30,-63.96,-23.66,19.61,-44.75,-11.12,12.80,-53.50
19980312 01:30,-62.49,-21.23,26.68,-47.38,-7.28,13.06,-53.50
19980312 02:30,-60.73,-18.21,31.55,-51.11,-1.85,13.33,-56.50
19980312 03:30,-68.21,-6.80,34.06,-67.24,0.19,12.94,-59.00
19980312 04:30,-73.87,4.25,30.03,-70.48,2.15,12.33,-60.00
19980312 05:30,-72.63,6.12,22.38,-66.53,3.48,12.30,-61.00
19980312 06:30,-79.49,-5.87,15.54,-74.20,1.01,12.81,-62.00
19980312 07:30,-83.24,-12.18,15.90,-79.80,1.87,13.07,-57.50
19980315 03:30,-48.85,-7.92,25.09,-28.78,-5.34,11.75,-50.50
19980315 04:30,-57.22,5.79,25.85,-43.70,-3.26,12.37,-55.00
19980315 05:30,-75.53,0.89,15.84,-62.98,-2.95,12.43,-55.50
19980315 13:30,-115.29,-6.66,20.19,-108.34,-4.55,17.55,-50.50
19980321 13:30,NaN,NaN,NaN,NaN,NaN,NaN,-58.50
19980321 14:30,NaN,NaN,NaN,NaN,NaN,NaN,-78.00
19980321 15:30,NaN,NaN,NaN,NaN,NaN,NaN,-83.50
19980321 16:30,NaN,NaN,NaN,NaN,NaN,NaN,-73.50
19980321 17:30,NaN,NaN,NaN,NaN,NaN,NaN,-58.50
19980321 18:30,NaN,NaN,NaN,NaN,NaN,NaN,-60.00
19980321 19:30,NaN,NaN,NaN,NaN,NaN,NaN,-65.50
19980321 20:30,NaN,NaN,NaN,NaN,NaN,NaN,-57.50
19980321 21:30,NaN,NaN,NaN,NaN,NaN,NaN,-51.00
19980325 15:30,NaN,NaN,NaN,NaN,NaN,NaN,-54.00
19980325 16:30,NaN,NaN,NaN,NaN,NaN,NaN,-53.00
19980329 18:30,NaN,NaN,NaN,NaN,NaN,NaN,-50.50
19980329 19:30,NaN,NaN,NaN,NaN,NaN,NaN,-52.50
19980424 05:30,NaN,NaN,NaN,NaN,NaN,NaN,-57.50
19980424 06:30,NaN,NaN,NaN,NaN,NaN,NaN,-64.00
19980424 07:30,NaN,NaN,NaN,NaN,NaN,NaN,-59.50
