date,Bx,By,Bz,Mx,My,Mz,dst
19980321 21:30,-44.93,11.26,33.89,-44.81,8.52,28.74,-51.00
19980325 15:30,-62.81,-15.54,29.35,-57.45,-15.85,25.05,-54.00
19980325 16:30,-64.91,-17.99,31.20,-56.65,-10.47,25.95,-53.00
19980329 18:30,-69.80,25.74,43.04,-54.10,31.44,29.51,-50.50
19980329 19:30,-66.92,20.36,38.82,-57.74,24.29,30.89,-52.50
19980424 05:30,-13.91,19.59,17.21,-29.78,10.03,15.99,-57.50
19980424 06:30,-3.47,32.40,14.26,-14.17,16.56,13.41,-64.00
19980424 07:30,-30.04,16.15,9.66,-40.08,6.77,11.30,-59.50
19980426 15:30,-77.07,-5.00,35.28,-51.93,4.42,25.10,-55.50
19980426 16:30,-73.56,-8.29,39.27,-58.27,1.38,28.61,-61.50
19980426 17:30,-73.09,-8.60,41.30,-64.09,0.77,30.82,-61.50
19980426 18:30,-68.01,-2.77,38.72,-61.87,4.79,30.80,-58.50
19980426 19:30,-55.95,-2.54,35.05,-51.83,1.76,29.21,-54.50
19980426 20:30,-43.81,-1.64,32.19,-41.53,-1.91,26.99,-51.00
19980502 11:30,-83.88,16.82,34.98,-64.10,10.48,21.73,-50.50
19980502 13:30,-110.37,-3.59,35.45,-88.93,-9.81,30.16,-64.00
19980502 14:30,-108.17,-4.00,41.30,-78.70,-10.84,34.93,-74.00
19980502 15:30,-97.70,5.67,45.77,-68.19,7.93,37.80,-75.00
19980502 16:30,-90.58,-5.31,43.54,-73.95,-4.04,38.51,-81.50
19980502 17:30,-93.90,-9.59,45.64,-77.80,-5.15,38.35,-83.50
19980502 18:30,-91.47,14.41,48.70,-71.37,19.86,38.19,-79.50
19980502 19:30,-73.55,29.23,48.12,-64.14,29.16,37.99,-72.50
19980502 20:30,-37.43,26.42,43.72,-40.00,18.47,36.90,-63.00
19980502 21:30,-28.76,22.04,39.39,-37.27,16.91,35.11,-52.00
19980503 03:30,-30.32,21.90,25.01,-30.56,32.22,23.54,-58.00
19980503 04:30,-27.05,26.63,24.33,-29.26,34.86,21.84,-58.50
19980503 05:30,-23.03,19.40,21.78,-26.16,16.20,19.39,-62.00
19980503 06:30,-42.47,15.30,18.51,-42.11,12.24,19.84,-68.00
19980503 07:30,-45.95,27.53,20.33,-40.21,22.83,17.71,-66.50
19980503 08:30,-40.94,26.31,20.50,-35.05,22.23,15.72,-57.50
19980503 10:30,-55.66,16.49,15.46,-46.79,18.98,15.04,-57.50
19980503 11:30,-68.01,15.76,23.02,-65.44,17.82,17.83,-57.50
19980503 16:30,-51.88,-9.29,14.46,-54.66,-8.34,19.21,-57.50
19980503 17:30,-38.00,-10.94,21.45,-36.66,-10.90,20.67,-54.50
19980503 18:30,-45.16,3.10,27.52,-32.64,9.79,24.05,-53.00
19980503 19:30,-37.18,17.13,36.00,-30.30,13.29,27.38,-61.50
19980503 20:30,-53.22,30.78,37.72,-45.93,32.05,30.24,-59.50
19980503 21:30,4.57,43.85,38.35,1.59,32.71,27.11,-53.00
19980503 22:30,-40.26,43.70,30.21,-38.61,46.59,26.39,-59.00
19980503 23:30,-36.90,47.03,32.43,-33.68,44.39,28.38,-60.50
19980504 00:30,-9.24,38.92,28.47,-13.81,32.33,25.81,-59.00
19980504 01:30,-14.41,50.98,23.55,-9.37,50.75,23.73,-60.00
19980504 02:30,-11.16,52.54,24.55,-13.68,46.01,22.50,-69.00
19980504 20:30,-72.48,9.93,36.61,-71.99,5.57,35.56,-98.50
19980504 21:30,-71.49,11.52,37.28,-70.28,5.43,35.58,-90.50
19980504 22:30,-58.50,23.73,38.26,-57.18,13.99,34.96,-81.50
19980504 23:30,-67.56,20.38,36.42,-62.04,15.80,34.54,-76.00
19980505 00:30,-68.80,15.54,34.53,-63.12,13.99,34.10,-73.00
19980505 01:30,-60.87,9.63,33.70,-59.16,9.68,32.82,-70.00
19980505 02:30,-53.36,16.24,33.68,-49.97,14.77,31.78,-78.50
19980505 11:30,-112.28,7.36,33.69,-95.53,13.87,35.92,-99.50
19980505 12:30,-117.19,0.86,38.09,-97.86,5.30,36.18,-93.50
19980505 13:30,-112.78,-1.74,46.31,-89.37,-1.71,37.61,-92.50
19980505 14:30,-108.42,-7.20,50.80,-82.05,-3.54,41.76,-99.50
19980505 17:30,-56.81,13.80,53.16,-45.96,11.55,44.52,-95.50
19980505 18:30,-60.04,9.40,47.03,-57.50,9.37,42.99,-94.50
19980505 19:30,-65.05,6.37,40.55,-62.18,5.63,41.38,-94.50
19980505 20:30,-69.40,12.13,41.47,-68.59,12.09,41.40,-88.00
19980505 21:30,-70.61,10.37,40.27,-71.69,8.29,39.40,-75.00
19980505 22:30,-63.27,11.97,38.33,-63.00,7.58,37.55,-62.50
19980505 23:30,-58.16,11.49,37.56,-55.58,8.62,35.72,-55.50
19980506 00:30,-55.02,11.54,36.52,-50.88,11.00,34.43,-53.00
19980506 01:30,-53.69,12.77,35.62,-48.86,14.99,33.34,-52.00
19980506 02:30,-55.41,14.73,34.63,-50.59,16.24,32.61,-56.00
19980506 03:30,-56.80,15.12,32.91,-52.50,15.08,32.56,-63.50
19980506 04:30,-57.85,19.62,31.98,-54.17,16.95,32.64,-67.00
19980506 05:30,-59.80,14.37,31.17,-56.97,12.59,32.92,-65.50
19980506 06:30,-56.22,9.80,32.83,-56.45,9.61,33.18,-63.00
19980506 07:30,-58.02,13.35,34.82,-57.15,12.35,33.13,-62.00
19980506 08:30,-62.64,16.59,38.44,-60.87,13.88,32.38,-63.50
19980506 09:30,-71.57,11.26,36.45,-67.17,8.36,32.14,-64.00
19980506 10:30,-74.38,-0.65,33.28,-66.56,3.32,32.24,-62.00
19980506 11:30,-70.09,-12.64,36.23,-65.40,1.37,32.36,-60.50
19980506 12:30,-64.30,-8.82,45.48,-63.55,3.47,32.79,-61.00
19980506 13:30,-61.18,0.48,50.73,-61.08,4.88,33.86,-64.00
19980506 14:30,-58.92,10.11,49.35,-63.66,11.93,34.52,-67.50
19980506 15:30,-52.41,11.32,43.35,-58.26,11.07,34.58,-69.50
19980506 16:30,-44.48,6.14,39.48,-49.37,6.05,34.47,-71.00
19980506 17:30,-48.25,7.25,40.05,-50.99,7.49,34.76,-71.50
19980506 18:30,-54.19,8.86,35.95,-52.32,10.04,34.66,-70.50
19980506 19:30,-51.96,8.43,34.56,-51.30,8.61,34.09,-69.50
19980506 20:30,-47.60,8.50,34.46,-48.37,7.18,33.14,-66.50
19980506 21:30,-45.69,8.74,35.25,-46.55,6.43,32.37,-61.00
19980506 22:30,-38.14,14.80,36.19,-37.53,10.48,32.01,-55.50
19980507 08:30,-48.18,20.66,34.48,-42.98,16.12,26.44,-51.00
19980508 19:30,-39.94,11.42,31.53,-33.70,13.61,28.12,-54.00
19980508 20:30,-39.16,18.33,34.40,-33.26,18.43,29.21,-54.50
19980509 17:30,-31.36,-7.37,38.95,-27.47,-7.05,29.55,-51.50
19980509 18:30,-42.56,6.03,41.93,-34.75,4.53,32.57,-58.50
19980509 19:30,-53.68,18.18,43.60,-45.26,17.72,35.05,-62.50
19980509 20:30,-54.83,8.84,38.45,-54.93,6.60,34.73,-58.00
19980509 21:30,-44.04,6.89,35.09,-46.28,3.03,33.77,-50.50
19980614 09:30,-38.00,11.33,8.91,-35.74,7.72,13.59,-54.50
19980614 10:30,-41.07,14.39,14.84,-40.36,8.11,14.32,-53.50
19980626 01:30,-3.10,23.86,25.63,-15.94,7.85,15.38,-55.00
19980626 02:30,7.02,35.09,24.42,-12.30,16.96,15.53,-76.00
19980626 03:30,-8.05,27.32,16.58,-29.70,10.52,15.73,-93.00
19980626 04:30,-31.58,14.72,14.39,-50.91,10.24,17.99,-96.50
19980626 05:30,-58.71,-6.66,10.14,-68.14,-7.43,18.07,-84.50
19980626 06:30,-36.69,9.39,12.01,-38.66,9.83,18.72,-71.50
19980626 07:30,-29.75,13.56,18.16,-27.22,15.12,17.97,-61.00
19980716 14:30,-72.82,-4.44,14.15,-63.93,-7.51,15.73,-50.50
19980716 15:30,-68.09,-20.22,17.54,-54.87,-17.36,17.52,-55.00
19980716 16:30,-77.07,-19.33,24.89,-58.71,-5.17,21.77,-57.00
19980716 17:30,-57.70,3.88,39.29,-43.47,14.91,26.09,-52.00
19980806 08:30,-55.26,16.36,10.65,-42.57,17.58,12.48,-72.00
19980806 19:30,-81.28,4.77,32.85,-73.81,8.66,33.14,-96.00
19980806 20:30,-66.40,10.90,35.98,-64.60,12.72,33.64,-93.00
19980806 21:30,-69.15,10.00,35.83,-67.96,8.98,33.39,-93.00
19980806 22:30,-57.69,17.87,37.98,-61.87,23.25,32.64,-93.00
19980806 23:30,-42.41,30.85,36.34,-38.67,44.82,31.09,-87.00
19980807 00:30,-61.74,29.29,32.63,-54.37,34.22,27.79,-73.00
19980807 01:30,-61.62,21.34,32.74,-49.59,26.36,27.47,-63.00
19980807 02:30,-54.05,18.39,33.29,-46.12,22.67,27.28,-68.00
19980807 03:30,-30.10,8.22,31.76,-42.37,8.07,27.10,-82.50
19980807 04:30,-35.69,18.25,26.11,-49.43,12.66,26.38,-99.00
19980807 06:30,-70.46,23.95,25.89,-68.37,14.84,26.65,-90.50
19980807 07:30,-68.17,27.92,25.12,-60.58,22.17,26.28,-82.00
19980807 08:30,-62.36,26.18,22.42,-56.38,22.82,25.83,-78.00
19980807 09:30,-59.27,19.70,22.66,-54.57,19.23,25.25,-76.00
19980807 10:30,-69.55,16.11,25.13,-62.80,18.89,25.28,-73.50
19980807 11:30,-73.66,14.51,25.02,-67.83,16.62,26.07,-68.00
19980807 12:30,-77.40,8.99,23.27,-60.72,6.29,26.42,-64.50
19980807 13:30,-85.61,16.99,24.29,-69.85,17.58,26.99,-62.00
19980807 14:30,-74.06,16.18,21.38,-61.16,16.46,26.40,-58.00
19980807 15:30,-65.78,8.14,22.58,-55.19,12.13,25.49,-58.00
19980807 16:30,-63.31,6.47,24.47,-54.44,11.01,25.37,-61.00
19980807 17:30,-62.32,7.84,25.87,-55.06,10.94,25.16,-62.00
19980807 18:30,-53.45,9.68,24.98,-49.06,10.45,24.73,-61.50
19980807 19:30,-47.09,6.28,25.72,-43.45,5.92,24.38,-59.50
19980807 20:30,-44.35,10.83,26.80,-38.77,11.76,24.57,-57.00
19980807 21:30,-45.41,6.19,27.78,-42.67,5.04,24.44,-55.00
19980807 22:30,-46.19,10.32,28.92,-41.71,7.37,24.78,-52.50
19980820 17:30,-71.44,-9.02,41.42,-52.86,0.07,28.76,-56.50
19980820 18:30,-78.67,9.32,46.94,-59.90,12.70,33.00,-63.50
19980820 19:30,-74.35,9.72,45.33,-67.50,10.45,35.54,-66.50
19980820 20:30,-64.06,8.50,42.82,-65.28,9.59,36.23,-65.00
19980820 21:30,-58.49,15.19,40.34,-58.95,18.72,36.12,-60.00
19980820 22:30,-47.47,15.45,39.44,-49.30,19.83,35.43,-53.00
19980826 22:30,-6.61,32.08,29.27,-8.29,29.34,22.80,-54.50
